ORF	gene	length.protein	classification	label	Length5UTR	Length3UTR	Length5UTR.est	Length3UTR.est	LengthTxEst	unspliced.CDS.length	LengthTxUnsplicedEst	ENA	SGD_ID	ncrna_classification	RNAcentral_ID	length.ncRNA
YJL150W	NA	100	Dubious	other	NA	NA	48	123	474	303	474	NA	NA	NA	NA	NA
YJL151C	SNA3	133	Verified	MSN2/4	33	73	33	73	508	402	508	NA	NA	NA	NA	NA
YJL152W	NA	119	Dubious	other	1014	372	1014	372	1746	360	1746	NA	NA	NA	NA	NA
YJL153C	INO1	533	Verified	other	4	139	4	139	1745	1602	1745	NA	NA	NA	NA	NA
YJL154C	VPS35	944	Verified	other	68	57	68	57	2960	2835	2960	NA	NA	NA	NA	NA
YJL155C	FBP26	452	Verified	MSN2/4	143	162	143	162	1664	1359	1664	NA	NA	NA	NA	NA
YJL156C	SSY5	699	Verified	other	58	386	58	386	2544	2100	2544	NA	NA	NA	NA	NA
YJL156W-A	NA	73	Dubious	other	NA	NA	48	123	393	222	393	NA	NA	NA	NA	NA
YJL157C	FAR1	830	Verified	other	NA	NA	48	123	2664	2493	2664	NA	NA	NA	NA	NA
YJL158C	CIS3	227	Verified	other	37	173	37	173	894	684	894	NA	NA	NA	NA	NA
YJL159W	HSP150	413	Verified	other	54	311	54	311	1607	1242	1607	NA	NA	NA	NA	NA
YJL160C	PIR5	287	Uncharacterized	other	33	78	33	78	975	864	975	NA	NA	NA	NA	NA
YJL161W	FMP33	180	Uncharacterized	MSN2/4	24	154	24	154	721	543	721	NA	NA	NA	NA	NA
YJL162C	JJJ2	583	Verified	other	49	113	49	113	1914	1752	1914	NA	NA	NA	NA	NA
YJL163C	NA	555	Uncharacterized	other	64	62	64	62	1794	1668	1794	NA	NA	NA	NA	NA
YJL164C	TPK1	397	Verified	other	219	112	219	112	1525	1194	1525	NA	NA	NA	NA	NA
YJL165C	HAL5	855	Verified	other	154	20	154	20	2742	2568	2742	NA	NA	NA	NA	NA
YJL166W	QCR8	94	Verified	other	60	163	60	163	508	285	508	NA	NA	NA	NA	NA
YJL167W	ERG20	352	Verified	other	70	115	70	115	1244	1059	1244	NA	NA	NA	NA	NA
YJL168C	SET2	733	Verified	other	93	184	93	184	2479	2202	2479	NA	NA	NA	NA	NA
YJL169W	NA	122	Dubious	other	NA	NA	48	123	540	369	540	NA	NA	NA	NA	NA
YJL170C	ASG7	209	Verified	other	108	27	108	27	765	630	765	NA	NA	NA	NA	NA
YJL171C	TOH1	396	Verified	other	32	170	32	170	1393	1191	1393	NA	NA	NA	NA	NA
YJL172W	CPS1	576	Verified	other	33	128	33	128	1892	1731	1892	NA	NA	NA	NA	NA
YJL173C	RFA3	122	Verified	other	8	77	8	77	454	369	454	NA	NA	NA	NA	NA
YJL174W	KRE9	276	Verified	other	115	182	115	182	1128	831	1128	NA	NA	NA	NA	NA
YJL175W	NA	170	Dubious	other	2211	415	2211	415	3139	513	3139	NA	NA	NA	NA	NA
YJL176C	SWI3	825	Verified	other	58	235	58	235	2771	2478	2771	NA	NA	NA	NA	NA
YJL177W	RPL17B	184	Verified	RP	63	105	63	105	723	872	1040	NA	NA	NA	NA	NA
YJL178C	ATG27	271	Verified	other	22	98	22	98	936	816	936	NA	NA	NA	NA	NA
YJL179W	PFD1	109	Verified	other	62	133	62	133	525	330	525	NA	NA	NA	NA	NA
YJL180C	ATP12	325	Verified	other	16	102	16	102	1096	978	1096	NA	NA	NA	NA	NA
YJL181W	RBH1	611	Uncharacterized	other	22	84	22	84	1942	1836	1942	NA	NA	NA	NA	NA
YJL182C	NA	105	Dubious	other	NA	NA	48	123	489	318	489	NA	NA	NA	NA	NA
YJL183W	MNN11	422	Verified	other	65	92	65	92	1426	1269	1426	NA	NA	NA	NA	NA
YJL184W	GON7	123	Verified	other	41	76	41	76	489	372	489	NA	NA	NA	NA	NA
YJL185C	ATG36	293	Verified	other	57	178	57	178	1117	882	1117	NA	NA	NA	NA	NA
YJL186W	MNN5	586	Verified	other	29	118	29	118	1908	1761	1908	NA	NA	NA	NA	NA
YJL187C	SWE1	819	Verified	other	93	103	93	103	2656	2460	2656	NA	NA	NA	NA	NA
YJL188C	BUD19	102	Dubious	other	NA	NA	48	123	480	309	480	NA	NA	NA	NA	NA
YJL189W	RPL39	51	Verified	RP	26	181	26	181	363	542	749	NA	NA	NA	NA	NA
YJL190C	RPS22A	130	Verified	RP	22	141	22	141	556	393	556	NA	NA	NA	NA	NA
YJL191W	RPS14B	138	Verified	RP	30	114	30	114	561	825	969	NA	NA	NA	NA	NA
YJL192C	SOP4	234	Verified	other	24	107	24	107	836	705	836	NA	NA	NA	NA	NA
YJL193W	NA	402	Uncharacterized	other	19	96	19	96	1324	1209	1324	NA	NA	NA	NA	NA
YJL194W	CDC6	513	Verified	other	38	130	38	130	1710	1542	1710	NA	NA	NA	NA	NA
YJL195C	NA	233	Dubious	other	NA	NA	48	123	873	702	873	NA	NA	NA	NA	NA
YJL196C	ELO1	310	Verified	other	28	135	28	135	1096	933	1096	NA	NA	NA	NA	NA
YJL197C-A	NA	93	Dubious	other	NA	NA	48	123	453	282	453	NA	NA	NA	NA	NA
YJL197W	UBP12	1254	Verified	other	40	75	40	75	3880	3765	3880	NA	NA	NA	NA	NA
YJL198W	PHO90	881	Verified	other	46	90	46	90	2782	2646	2782	NA	NA	NA	NA	NA
YJL199C	MBB1	108	Verified	other	367	226	367	226	920	327	920	NA	NA	NA	NA	NA
YJL200C	ACO2	789	Verified	other	23	147	23	147	2540	2370	2540	NA	NA	NA	NA	NA
YJL201W	ECM25	599	Verified	other	25	68	25	68	1893	1800	1893	NA	NA	NA	NA	NA
YJL202C	NA	115	Dubious	other	NA	NA	48	123	519	348	519	NA	NA	NA	NA	NA
YJL203W	PRP21	280	Verified	other	39	147	39	147	1029	843	1029	NA	NA	NA	NA	NA
YJL204C	RCY1	840	Verified	other	26	72	26	72	2621	2523	2621	NA	NA	NA	NA	NA
YJL205C	NCE101	53	Verified	other	19	118	19	118	299	305	442	NA	NA	NA	NA	NA
YJL206C	NA	758	Uncharacterized	other	150	87	150	87	2514	2277	2514	NA	NA	NA	NA	NA
YJL207C	LAA1	2014	Verified	other	NA	NA	48	123	6216	6045	6216	NA	NA	NA	NA	NA
YJL208C	NUC1	329	Verified	other	52	114	52	114	1156	990	1156	NA	NA	NA	NA	NA
YJL209W	CBP1	654	Verified	other	73	93	73	93	2131	1965	2131	NA	NA	NA	NA	NA
YJL210W	PEX2	271	Verified	other	111	63	111	63	990	816	990	NA	NA	NA	NA	NA
YJL211C	NA	147	Dubious	other	529	582	529	582	1555	444	1555	NA	NA	NA	NA	NA
YJL212C	OPT1	799	Verified	other	32	186	32	186	2618	2400	2618	NA	NA	NA	NA	NA
YJL213W	NA	331	Verified	other	348	222	348	222	1566	996	1566	NA	NA	NA	NA	NA
YJL214W	HXT8	569	Verified	other	NA	NA	48	123	1881	1710	1881	NA	NA	NA	NA	NA
YJL215C	NA	119	Dubious	other	1572	338	1572	338	2270	360	2270	NA	NA	NA	NA	NA
YJL216C	IMA5	581	Verified	other	844	199	844	199	2789	1746	2789	NA	NA	NA	NA	NA
YJL217W	REE1	198	Verified	other	65	113	65	113	775	597	775	NA	NA	NA	NA	NA
YJL218W	NA	196	Uncharacterized	other	45	146	45	146	782	591	782	NA	NA	NA	NA	NA
YJL219W	HXT9	567	Verified	other	NA	NA	48	123	1875	1704	1875	NA	NA	NA	NA	NA
YJL220W	NA	150	Dubious	other	NA	NA	48	123	624	453	624	NA	NA	NA	NA	NA
YJL221C	IMA4	589	Verified	other	NA	NA	48	123	1941	1770	1941	NA	NA	NA	NA	NA
YJL222W	VTH2	1549	Verified	other	NA	NA	48	123	4821	4650	4821	NA	NA	NA	NA	NA
YJL222W-A	NA	75	Dubious	other	NA	NA	48	123	399	228	399	NA	NA	NA	NA	NA
YJL222W-B	NA	45	Dubious	other	NA	NA	48	123	309	138	309	NA	NA	NA	NA	NA
YJL223C	PAU1	120	Verified	other	NA	NA	48	123	534	363	534	NA	NA	NA	NA	NA
YJL225C	NA	1758	Uncharacterized	other	NA	NA	48	123	5448	5665	5836	NA	NA	NA	NA	NA
YJL225W-A	NA	160	Dubious	other	NA	NA	48	123	654	483	654	NA	NA	NA	NA	NA
YJR001W	AVT1	602	Verified	other	56	120	56	120	1985	1809	1985	NA	NA	NA	NA	NA
YJR002W	MPP10	593	Verified	RiBi	15	344	15	344	2141	1782	2141	NA	NA	NA	NA	NA
YJR003C	MRX12	519	Uncharacterized	other	22	87	22	87	1669	1560	1669	NA	NA	NA	NA	NA
YJR004C	SAG1	650	Verified	other	35	232	35	232	2220	1953	2220	NA	NA	NA	NA	NA
YJR005C-A	LSO1	93	Verified	other	NA	NA	48	123	453	282	453	NA	NA	NA	NA	NA
YJR005W	APL1	700	Verified	other	42	137	42	137	2282	2103	2282	NA	NA	NA	NA	NA
YJR006W	POL31	487	Verified	other	8	76	8	76	1548	1464	1548	NA	NA	NA	NA	NA
YJR007W	SUI2	304	Verified	translation factors	96	127	96	127	1138	915	1138	NA	NA	NA	NA	NA
YJR008W	MHO1	338	Verified	MSN2/4	111	100	111	100	1228	1017	1228	NA	NA	NA	NA	NA
YJR009C	TDH2	332	Verified	glycolysis	48	119	48	119	1166	999	1166	NA	NA	NA	NA	NA
YJR010C-A	SPC1	94	Verified	other	30	238	30	238	553	285	553	NA	NA	NA	NA	NA
YJR010W	MET3	511	Verified	other	79	129	79	129	1744	1536	1744	NA	NA	NA	NA	NA
YJR011C	CAL4	261	Verified	other	45	91	45	91	922	786	922	NA	NA	NA	NA	NA
YJR012C	NA	132	Verified	other	NA	NA	48	123	570	399	570	NA	NA	NA	NA	NA
YJR013W	GPI14	403	Verified	other	40	94	40	94	1346	1212	1346	NA	NA	NA	NA	NA
YJR014W	TMA22	198	Verified	other	39	201	39	201	837	597	837	NA	NA	NA	NA	NA
YJR015W	NA	510	Uncharacterized	other	16	82	16	82	1631	1533	1631	NA	NA	NA	NA	NA
YJR016C	ILV3	585	Verified	other	15	135	15	135	1908	1758	1908	NA	NA	NA	NA	NA
YJR017C	ESS1	170	Verified	other	14	242	14	242	769	513	769	NA	NA	NA	NA	NA
YJR018W	NA	120	Dubious	other	210	126	210	126	699	363	699	NA	NA	NA	NA	NA
YJR019C	TES1	349	Verified	other	19	75	19	75	1144	1050	1144	NA	NA	NA	NA	NA
YJR020W	NA	110	Dubious	other	531	311	531	311	1175	333	1175	NA	NA	NA	NA	NA
YJR021C	REC107	314	Verified	other	35	98	35	98	1078	1025	1158	NA	NA	NA	NA	NA
YJR022W	LSM8	109	Verified	other	NA	NA	48	123	501	330	501	NA	NA	NA	NA	NA
YJR023C	NA	133	Dubious	other	NA	NA	48	123	573	402	573	NA	NA	NA	NA	NA
YJR024C	MDE1	244	Verified	other	NA	NA	48	123	906	735	906	NA	NA	NA	NA	NA
YJR025C	BNA1	177	Verified	other	100	152	100	152	786	534	786	NA	NA	NA	NA	NA
YJR026W	NA	440	retrotransposon	other	NA	NA	48	123	1494	NA	NA	NA	NA	NA	NA	NA
YJR027W	NA	1755	retrotransposon	other	NA	NA	48	123	5439	NA	NA	NA	NA	NA	NA	NA
YJR028W	NA	440	retrotransposon	other	NA	NA	48	123	1494	NA	NA	NA	NA	NA	NA	NA
YJR029W	NA	1755	retrotransposon	other	NA	NA	48	123	5439	NA	NA	NA	NA	NA	NA	NA
YJR030C	RBH2	745	Uncharacterized	other	NA	NA	48	123	2409	2238	2409	NA	NA	NA	NA	NA
YJR031C	GEA1	1408	Verified	other	86	133	86	133	4446	4227	4446	NA	NA	NA	NA	NA
YJR032W	CPR7	393	Verified	other	23	121	23	121	1326	1182	1326	NA	NA	NA	NA	NA
YJR033C	RAV1	1357	Verified	other	NA	NA	48	123	4245	4074	4245	NA	NA	NA	NA	NA
YJR034W	PET191	108	Verified	other	75	139	75	139	541	327	541	NA	NA	NA	NA	NA
YJR035W	RAD26	1085	Verified	other	11	149	11	149	3418	3258	3418	NA	NA	NA	NA	NA
YJR036C	HUL4	892	Verified	MSN2/4	256	125	256	125	3060	2679	3060	NA	NA	NA	NA	NA
YJR037W	NA	127	Dubious	other	NA	NA	48	123	555	384	555	NA	NA	NA	NA	NA
YJR038C	NA	120	Dubious	other	NA	NA	48	123	534	363	534	NA	NA	NA	NA	NA
YJR039W	MLO127	1121	Uncharacterized	other	NA	NA	48	123	3537	3366	3537	NA	NA	NA	NA	NA
YJR040W	GEF1	779	Verified	other	44	69	44	69	2453	2340	2453	NA	NA	NA	NA	NA
YJR041C	URB2	1174	Verified	RiBi	73	174	73	174	3772	3525	3772	NA	NA	NA	NA	NA
YJR042W	NUP85	744	Verified	other	23	125	23	125	2383	2235	2383	NA	NA	NA	NA	NA
YJR043C	POL32	350	Verified	other	54	138	54	138	1245	1053	1245	NA	NA	NA	NA	NA
YJR044C	VPS55	140	Verified	other	82	177	82	177	682	423	682	NA	NA	NA	NA	NA
YJR045C	SSC1	654	Verified	HSF1	139	219	139	219	2323	1965	2323	NA	NA	NA	NA	NA
YJR046W	TAH11	604	Verified	other	27	42	27	42	1884	1815	1884	NA	NA	NA	NA	NA
YJR047C	ANB1	157	Verified	translation factors	54	110	54	110	638	474	638	NA	NA	NA	NA	NA
YJR048W	CYC1	109	Verified	other	46	183	46	183	559	330	559	NA	NA	NA	NA	NA
YJR049C	UTR1	530	Verified	other	26	132	26	132	1751	1593	1751	NA	NA	NA	NA	NA
YJR050W	ISY1	235	Verified	other	23	272	23	272	1003	708	1003	NA	NA	NA	NA	NA
YJR051W	OSM1	501	Verified	other	32	79	32	79	1617	1506	1617	NA	NA	NA	NA	NA
YJR052W	RAD7	565	Verified	other	26	60	26	60	1784	1698	1784	NA	NA	NA	NA	NA
YJR053W	BFA1	574	Verified	other	68	1394	68	1394	3187	1725	3187	NA	NA	NA	NA	NA
YJR054W	KCH1	497	Verified	other	93	103	93	103	1690	1494	1690	NA	NA	NA	NA	NA
YJR055W	HIT1	164	Verified	other	10	407	10	407	912	495	912	NA	NA	NA	NA	NA
YJR056C	NA	236	Verified	other	166	132	166	132	1009	711	1009	NA	NA	NA	NA	NA
YJR057W	CDC8	216	Verified	other	7	69	7	69	727	651	727	NA	NA	NA	NA	NA
YJR058C	APS2	147	Verified	other	70	46	70	46	560	444	560	NA	NA	NA	NA	NA
YJR059W	PTK2	818	Verified	MSN2/4	75	124	75	124	2656	2457	2656	NA	NA	NA	NA	NA
YJR060W	CBF1	351	Verified	other	56	586	56	586	1698	1056	1698	NA	NA	NA	NA	NA
YJR061W	MNN14	935	Uncharacterized	other	NA	NA	48	123	2979	2808	2979	NA	NA	NA	NA	NA
YJR062C	NTA1	457	Verified	other	17	629	17	629	2020	1374	2020	NA	NA	NA	NA	NA
YJR063W	RPA12	125	Verified	RiBi	32	145	32	145	555	378	555	NA	NA	NA	NA	NA
YJR064W	CCT5	562	Verified	other	50	56	50	56	1795	1689	1795	NA	NA	NA	NA	NA
YJR065C	ARP3	449	Verified	other	30	163	30	163	1543	1350	1543	NA	NA	NA	NA	NA
YJR066W	TOR1	2470	Verified	RiBi	NA	NA	48	123	7584	7413	7584	NA	NA	NA	NA	NA
YJR067C	YAE1	141	Verified	other	14	151	14	151	591	426	591	NA	NA	NA	NA	NA
YJR068W	RFC2	353	Verified	other	48	71	48	71	1181	1062	1181	NA	NA	NA	NA	NA
YJR069C	HAM1	197	Verified	other	33	147	33	147	774	594	774	NA	NA	NA	NA	NA
YJR070C	LIA1	325	Verified	other	57	110	57	110	1145	978	1145	NA	NA	NA	NA	NA
YJR071W	NA	122	Dubious	other	NA	NA	48	123	540	369	540	NA	NA	NA	NA	NA
YJR072C	NPA3	385	Verified	other	34	77	34	77	1269	1158	1269	NA	NA	NA	NA	NA
YJR073C	OPI3	206	Verified	other	34	89	34	89	744	621	744	NA	NA	NA	NA	NA
YJR074W	MOG1	218	Verified	other	750	101	750	101	1508	657	1508	NA	NA	NA	NA	NA
YJR075W	HOC1	396	Verified	other	49	172	49	172	1412	1191	1412	NA	NA	NA	NA	NA
YJR076C	CDC11	415	Verified	other	48	134	48	134	1430	1248	1430	NA	NA	NA	NA	NA
YJR077C	MIR1	311	Verified	other	40	151	40	151	1127	936	1127	NA	NA	NA	NA	NA
YJR078W	BNA2	453	Verified	other	NA	NA	48	123	1533	1362	1533	NA	NA	NA	NA	NA
YJR079W	NA	109	Uncharacterized	other	NA	NA	48	123	501	1035	1206	NA	NA	NA	NA	NA
YJR080C	AIM24	394	Verified	other	32	130	32	130	1347	1185	1347	NA	NA	NA	NA	NA
YJR082C	EAF6	113	Verified	other	107	197	107	197	646	342	646	NA	NA	NA	NA	NA
YJR083C	ACF4	309	Verified	other	25	94	25	94	1049	930	1049	NA	NA	NA	NA	NA
YJR084W	NA	423	Verified	other	23	128	23	128	1423	1272	1423	NA	NA	NA	NA	NA
YJR085C	TMH11	105	Verified	other	44	88	44	88	450	318	450	NA	NA	NA	NA	NA
YJR086W	STE18	110	Verified	other	29	17	29	17	379	333	379	NA	NA	NA	NA	NA
YJR087W	NA	116	Dubious	other	NA	NA	48	123	522	351	522	NA	NA	NA	NA	NA
YJR088C	EMC2	292	Verified	other	37	267	37	267	1183	879	1183	NA	NA	NA	NA	NA
YJR089W	BIR1	954	Verified	other	118	80	118	80	3063	2865	3063	NA	NA	NA	NA	NA
YJR090C	GRR1	1151	Verified	other	NA	NA	48	123	3627	3456	3627	NA	NA	NA	NA	NA
YJR091C	JSN1	1091	Verified	other	70	283	70	283	3629	3276	3629	NA	NA	NA	NA	NA
YJR092W	BUD4	1447	Verified	other	NA	NA	48	123	4515	4344	4515	NA	NA	NA	NA	NA
YJR093C	FIP1	327	Verified	other	58	111	58	111	1153	984	1153	NA	NA	NA	NA	NA
YJR094C	IME1	360	Verified	other	197	163	197	163	1443	1083	1443	NA	NA	NA	NA	NA
YJR094W-A	RPL43B	92	Verified	RP	34	130	34	130	443	554	718	NA	NA	NA	NA	NA
YJR095W	SFC1	322	Verified	other	97	193	97	193	1259	969	1259	NA	NA	NA	NA	NA
YJR096W	NA	282	Verified	other	85	81	85	81	1015	849	1015	NA	NA	NA	NA	NA
YJR097W	JJJ3	172	Verified	translation factors	79	128	79	128	726	519	726	NA	NA	NA	NA	NA
YJR098C	NA	656	Uncharacterized	other	48	150	48	150	2169	1971	2169	NA	NA	NA	NA	NA
YJR099W	YUH1	236	Verified	other	90	85	90	85	886	711	886	NA	NA	NA	NA	NA
YJR100C	AIM25	327	Verified	other	34	72	34	72	1090	984	1090	NA	NA	NA	NA	NA
YJR101W	RSM26	266	Verified	other	66	140	66	140	1007	801	1007	NA	NA	NA	NA	NA
YJR102C	VPS25	202	Verified	other	79	137	79	137	825	609	825	NA	NA	NA	NA	NA
YJR103W	URA8	578	Verified	other	44	74	44	74	1855	1737	1855	NA	NA	NA	NA	NA
YJR104C	SOD1	154	Verified	MSN2/4	48	71	48	71	584	465	584	NA	NA	NA	NA	NA
YJR105W	ADO1	340	Verified	other	38	45	38	45	1106	1023	1106	NA	NA	NA	NA	NA
YJR106W	ECM27	725	Verified	other	35	183	35	183	2396	2178	2396	NA	NA	NA	NA	NA
YJR107C-A	NA	78	Verified	other	NA	NA	48	123	408	237	408	NA	NA	NA	NA	NA
YJR107W	LIH1	328	Uncharacterized	other	803	110	803	110	1900	987	1900	NA	NA	NA	NA	NA
YJR108W	ABM1	123	Verified	other	NA	NA	48	123	543	372	543	NA	NA	NA	NA	NA
YJR109C	CPA2	1118	Verified	other	57	103	57	103	3517	3357	3517	NA	NA	NA	NA	NA
YJR110W	YMR1	688	Verified	other	126	145	126	145	2338	2067	2338	NA	NA	NA	NA	NA
YJR111C	PXP2	283	Verified	other	NA	NA	48	123	1023	852	1023	NA	NA	NA	NA	NA
YJR112W	NNF1	201	Verified	other	32	77	32	77	715	606	715	NA	NA	NA	NA	NA
YJR112W-A	NA	109	Uncharacterized	other	20	104	20	104	454	379	503	NA	NA	NA	NA	NA
YJR113C	RSM7	247	Verified	other	58	73	58	73	875	744	875	NA	NA	NA	NA	NA
YJR114W	NA	130	Dubious	other	NA	NA	48	123	564	393	564	NA	NA	NA	NA	NA
YJR115W	NA	169	Uncharacterized	other	642	293	642	293	1445	510	1445	NA	NA	NA	NA	NA
YJR116W	TDA4	279	Uncharacterized	other	108	151	108	151	1099	840	1099	NA	NA	NA	NA	NA
YJR117W	STE24	453	Verified	other	30	133	30	133	1525	1362	1525	NA	NA	NA	NA	NA
YJR118C	ILM1	203	Verified	other	48	102	48	102	762	612	762	NA	NA	NA	NA	NA
YJR119C	JHD2	728	Verified	other	30	66	30	66	2283	2187	2283	NA	NA	NA	NA	NA
YJR120W	DMO1	116	Verified	other	NA	NA	48	123	522	351	522	NA	NA	NA	NA	NA
YJR121W	ATP2	511	Verified	other	193	258	193	258	1987	1536	1987	NA	NA	NA	NA	NA
YJR122W	IBA57	497	Verified	other	62	66	62	66	1622	1494	1622	NA	NA	NA	NA	NA
YJR123W	RPS5	225	Verified	RP	28	120	28	120	826	678	826	NA	NA	NA	NA	NA
YJR124C	NA	448	Uncharacterized	other	27	141	27	141	1515	1347	1515	NA	NA	NA	NA	NA
YJR125C	ENT3	408	Verified	other	60	91	60	91	1378	1227	1378	NA	NA	NA	NA	NA
YJR126C	VPS70	811	Verified	other	9	77	9	77	2522	2436	2522	NA	NA	NA	NA	NA
YJR127C	RSF2	1380	Verified	other	NA	NA	48	123	4314	4143	4314	NA	NA	NA	NA	NA
YJR128W	NA	119	Uncharacterized	other	NA	NA	48	123	531	360	531	NA	NA	NA	NA	NA
YJR129C	EFM3	339	Verified	translation factors	56	174	56	174	1250	1020	1250	NA	NA	NA	NA	NA
YJR130C	STR2	639	Verified	other	52	135	52	135	2107	1920	2107	NA	NA	NA	NA	NA
YJR131W	MNS1	549	Verified	other	36	70	36	70	1756	1650	1756	NA	NA	NA	NA	NA
YJR132W	NMD5	1048	Verified	other	61	164	61	164	3372	3147	3372	NA	NA	NA	NA	NA
YJR133W	XPT1	209	Verified	other	55	106	55	106	791	630	791	NA	NA	NA	NA	NA
YJR134C	SGM1	707	Verified	other	41	97	41	97	2262	2124	2262	NA	NA	NA	NA	NA
YJR135C	MCM22	239	Verified	other	34	194	34	194	948	720	948	NA	NA	NA	NA	NA
YJR135W-A	TIM8	87	Verified	other	20	124	20	124	408	264	408	NA	NA	NA	NA	NA
YJR136C	TTI2	421	Verified	other	18	86	18	86	1370	1266	1370	NA	NA	NA	NA	NA
YJR137C	MET5	1442	Verified	other	NA	NA	48	123	4500	4329	4500	NA	NA	NA	NA	NA
YJR138W	IML1	1584	Verified	other	NA	NA	48	123	4926	4755	4926	NA	NA	NA	NA	NA
YJR139C	HOM6	359	Verified	other	64	83	64	83	1227	1080	1227	NA	NA	NA	NA	NA
YJR140C	HIR3	1648	Verified	other	NA	NA	48	123	5118	4947	5118	NA	NA	NA	NA	NA
YJR140W-A	NA	49	Dubious	other	NA	NA	48	123	321	150	321	NA	NA	NA	NA	NA
YJR141W	IPA1	347	Verified	other	25	105	25	105	1174	1044	1174	NA	NA	NA	NA	NA
YJR142W	NA	342	Verified	other	21	105	21	105	1155	1029	1155	NA	NA	NA	NA	NA
YJR143C	PMT4	762	Verified	other	47	136	47	136	2472	2289	2472	NA	NA	NA	NA	NA
YJR144W	MGM101	269	Verified	other	28	66	28	66	904	810	904	NA	NA	NA	NA	NA
YJR145C	RPS4A	261	Verified	RP	33	84	33	84	903	1042	1159	NA	NA	NA	NA	NA
YJR146W	NA	117	Uncharacterized	other	284	1155	284	1155	1793	354	1793	NA	NA	NA	NA	NA
YJR147W	HMS2	358	Verified	other	90	359	90	359	1526	1077	1526	NA	NA	NA	NA	NA
YJR148W	BAT2	376	Verified	other	57	146	57	146	1334	1131	1334	NA	NA	NA	NA	NA
YJR149W	NA	404	Uncharacterized	other	915	37	915	37	2167	1215	2167	NA	NA	NA	NA	NA
YJR150C	DAN1	298	Verified	other	37	107	37	107	1041	897	1041	NA	NA	NA	NA	NA
YJR151C	DAN4	1161	Verified	other	NA	NA	48	123	3657	3486	3657	NA	NA	NA	NA	NA
YJR151W-A	NA	16	Uncharacterized	other	NA	NA	48	123	222	51	222	NA	NA	NA	NA	NA
YJR152W	DAL5	543	Verified	other	237	89	237	89	1958	1632	1958	NA	NA	NA	NA	NA
YJR153W	PGU1	361	Verified	other	68	84	68	84	1238	1086	1238	NA	NA	NA	NA	NA
YJR154W	NA	346	Uncharacterized	other	NA	NA	48	123	1212	1041	1212	NA	NA	NA	NA	NA
YJR155W	AAD10	288	Verified	other	876	57	876	57	1800	867	1800	NA	NA	NA	NA	NA
YJR156C	THI11	340	Verified	other	NA	NA	48	123	1194	1023	1194	NA	NA	NA	NA	NA
YJR157W	NA	120	Dubious	other	NA	NA	48	123	534	363	534	NA	NA	NA	NA	NA
YJR158W	HXT16	567	Verified	other	NA	NA	48	123	1875	1704	1875	NA	NA	NA	NA	NA
YJR159W	SOR1	357	Verified	other	NA	NA	48	123	1245	1074	1245	NA	NA	NA	NA	NA
YJR160C	MPH3	602	Verified	other	NA	NA	48	123	1980	1809	1980	NA	NA	NA	NA	NA
YJR161C	COS5	383	Verified	other	NA	NA	48	123	1323	1152	1323	NA	NA	NA	NA	NA
YJR162C	NA	116	Dubious	other	NA	NA	48	123	522	351	522	NA	NA	NA	NA	NA
YKL001C	MET14	202	Verified	other	70	92	70	92	771	609	771	NA	NA	NA	NA	NA
YKL002W	DID4	232	Verified	other	62	92	62	92	853	767	921	NA	NA	NA	NA	NA
YKL003C	MRP17	131	Verified	other	41	107	41	107	544	396	544	NA	NA	NA	NA	NA
YKL004W	AUR1	401	Verified	other	347	127	347	127	1680	1206	1680	NA	NA	NA	NA	NA
YKL005C	BYE1	594	Verified	other	122	179	122	179	2086	1785	2086	NA	NA	NA	NA	NA
YKL006C-A	SFT1	97	Verified	other	42	84	42	84	420	435	561	NA	NA	NA	NA	NA
YKL006W	RPL14A	138	Verified	RP	49	90	49	90	556	815	954	NA	NA	NA	NA	NA
YKL007W	CAP1	268	Verified	other	29	147	29	147	983	807	983	NA	NA	NA	NA	NA
YKL008C	LAC1	418	Verified	other	124	139	124	139	1520	1257	1520	NA	NA	NA	NA	NA
YKL009W	MRT4	236	Verified	RiBi	42	109	42	109	862	711	862	NA	NA	NA	NA	NA
YKL010C	UFD4	1483	Verified	other	104	59	104	59	4615	4452	4615	NA	NA	NA	NA	NA
YKL011C	CCE1	353	Verified	other	17	91	17	91	1170	1062	1170	NA	NA	NA	NA	NA
YKL012W	PRP40	583	Verified	other	53	127	53	127	1932	1752	1932	NA	NA	NA	NA	NA
YKL013C	ARC19	171	Verified	other	35	178	35	178	729	516	729	NA	NA	NA	NA	NA
YKL014C	URB1	1764	Verified	RiBi	NA	NA	48	123	5466	5295	5466	NA	NA	NA	NA	NA
YKL015W	PUT3	979	Verified	other	98	102	98	102	3140	2940	3140	NA	NA	NA	NA	NA
YKL016C	ATP7	174	Verified	other	71	105	71	105	701	525	701	NA	NA	NA	NA	NA
YKL017C	HCS1	683	Verified	other	8	93	8	93	2153	2052	2153	NA	NA	NA	NA	NA
YKL018C-A	MCO12	99	Uncharacterized	other	53	89	53	89	442	300	442	NA	NA	NA	NA	NA
YKL018W	SWD2	329	Verified	other	40	126	40	126	1156	990	1156	NA	NA	NA	NA	NA
YKL019W	RAM2	316	Verified	other	36	76	36	76	1063	951	1063	NA	NA	NA	NA	NA
YKL020C	SPT23	1082	Verified	other	36	90	36	90	3375	3249	3375	NA	NA	NA	NA	NA
YKL021C	MAK11	468	Verified	RiBi	NA	NA	48	123	1578	1407	1578	NA	NA	NA	NA	NA
